email,name,role
damien.willingham@titanroofing.com,Damien Willingham,owner
marcus.chen@titanroofing.com,Marcus Chen,admin
rachel.foster@titanroofing.com,Rachel Foster,admin
tony.reeves@titanroofing.com,Tony Reeves,admin
linda.castillo@titanroofing.com,Linda Castillo,manager
james.whitaker@titanroofing.com,James Whitaker,manager
sarah.nakamura@titanroofing.com,Sarah Nakamura,manager
derek.hoffman@titanroofing.com,Derek Hoffman,manager
maria.santos@titanroofing.com,Maria Santos,manager
kevin.oconnor@titanroofing.com,Kevin O'Connor,manager
patricia.wells@titanroofing.com,Patricia Wells,manager
brian.matsuda@titanroofing.com,Brian Matsuda,manager
carlos.rivera@titanroofing.com,Carlos Rivera,project_manager
jessica.thornton@titanroofing.com,Jessica Thornton,project_manager
michael.dubois@titanroofing.com,Michael DuBois,project_manager
ashley.park@titanroofing.com,Ashley Park,project_manager
ryan.gallagher@titanroofing.com,Ryan Gallagher,project_manager
nicole.vasquez@titanroofing.com,Nicole Vasquez,project_manager
steven.wu@titanroofing.com,Steven Wu,project_manager
amanda.kraft@titanroofing.com,Amanda Kraft,project_manager
daniel.mcbride@titanroofing.com,Daniel McBride,project_manager
taylor.nguyen@titanroofing.com,Taylor Nguyen,project_manager
brandon.hayes@titanroofing.com,Brandon Hayes,project_manager
samantha.cole@titanroofing.com,Samantha Cole,project_manager
troy.johnson@titanroofing.com,Troy Johnson,sales_rep
megan.stewart@titanroofing.com,Megan Stewart,sales_rep
dustin.morales@titanroofing.com,Dustin Morales,sales_rep
chelsea.brooks@titanroofing.com,Chelsea Brooks,sales_rep
tyler.anderson@titanroofing.com,Tyler Anderson,sales_rep
rafael.gutierrez@titanroofing.com,Rafael Gutierrez,field_tech
jake.morrison@titanroofing.com,Jake Morrison,field_tech
luis.hernandez@titanroofing.com,Luis Hernandez,field_tech
cody.baker@titanroofing.com,Cody Baker,field_tech
miguel.flores@titanroofing.com,Miguel Flores,field_tech
travis.west@titanroofing.com,Travis West,field_tech
jose.ramirez@titanroofing.com,Jose Ramirez,field_tech
sean.murphy@titanroofing.com,Sean Murphy,field_tech
chris.thompson@titanroofing.com,Chris Thompson,field_tech
marcus.davis@titanroofing.com,Marcus Davis,field_tech
alex.martinez@titanroofing.com,Alex Martinez,field_tech
brett.larson@titanroofing.com,Brett Larson,field_tech
kyle.peterson@titanroofing.com,Kyle Peterson,field_tech
danny.williams@titanroofing.com,Danny Williams,field_tech
eric.rodriguez@titanroofing.com,Eric Rodriguez,field_tech
jason.campbell@titanroofing.com,Jason Campbell,field_tech
sandra.price@titanroofing.com,Sandra Price,finance
deborah.kim@titanroofing.com,Deborah Kim,finance
catherine.wright@titanroofing.com,Catherine Wright,finance
allison.reed@titanroofing.com,Allison Reed,member
josh.bennett@titanroofing.com,Josh Bennett,member
